category,title,content
business,UK house prices dip in November,UK house prices dipped slightly in November the Office of the Deputy Prime Minister ODPM has said The average house price fell marginally to 180226 from 180444 in October Recent evidence has suggested that the UK housing market is slowing after interest rate increases and economists forecast a drop in prices during 2005 But while the monthly figures may hint at a cooling of the market annual house price inflation is still strong up 138 in the year to November Economists however forecast that ODPM figures are likely to show a weakening in annual house price growth in coming months Overall the housing market activity is slowing down and that is backed up by the mortgage lending and the mortgage approvals data said Mark Miller at HBOS Treasury Services The ODPM data is a fairly lagging indicator The figures come after the Bank of England said the number of mortgages approved in the UK has fallen to the lowest level for nearly a decade The Halifax meanwhile said last week that house prices increased by 11 in December the first monthly rise since September The UKs biggest mortgage lender said prices rose 151 over the whole of 2004 but by only 28 in the second half of the year It is predicting a 2 fall in overall prices in 2005 as the market stabilises after large gains in recent years The ODPM attributed the monthly fall of prices in November to a drop in the value of detached houses and flats It said annual inflation rose between October and November because prices had fallen by 11 in the same period in 2003 The ODPM data showed the average house price was 192713 in England 139544 in Wales 116542 in Scotland and 111314 in Northern Ireland All areas saw a rise in annual house price inflation in November except for Northern Ireland and the West Midlands where the rate was unchanged the ODPM said The North East showed the highest rate of inflation at 262 followed by Yorkshire and the Humber on 217 and the North West on 211 The East Midlands the West Midlands and the South West all had an annual inflation rate of more than 15 In London the area with the highest average house price at 262825 annual inflation rose only slightly in November to 71 from 7 the previous month
business,LSE sets date for takeover deal,The London Stock Exchange LSE is planning to announce a preferred takeover by the end of the month newspaper reports claim The Sunday Telegraph said the LSEs plan was further evidence it wants to retain tight control over its destiny Both Deutsche Boerse and rival Euronext held talks with the London market last week over a possible offer A 13bn offer from Deutsche Boerse has already been rejected while Euronext has said it will make an all cash bid Speculation suggests that Parisbased Euronext has the facilities in place to make a bid of 14bn while its German rival may up its bid to the 15bn mark Neither has yet tabled a formal bid but the LSE is expected to hold further talks with the two parties later this week However the Sunday Telegraph report added that there are signs that Deutsche Boerse chief executive Werner Seifert is becoming increasingly impatient with the LSEs managed bid process Despite insisting he wants to agree a recommended deal with the LSEs board the newspaper suggested he may pull out of the process and put an offer directly to shareholders instead The newspaper also claimed Mr Seifert was becoming increasingly frustrated with the pace of negotiations since Deutsche Boerses 13bn offer was rejected in midDecember in particular the LSEs decision to suspend talks over the Christmas period Meanwhile the German exchanges offer has come under fire recently Unions for Deutsche Boerse staff in Frankfurt have reportedly expressed fears that up to 300 jobs would be moved to London if the takeover is successful Others claim it will weaken the citys status as Europes financial centre while German politicians are also said to be angry over the market operators promise to move its headquarters to London if a bid is successful A further stumbling block is Deutsche Boerses control over its Clearstream unit the clearing house that processes securities transactions LSE shareholders fear it would create a monopoly situation weakening the position of shareholders when negotiating lower transaction fees for share dealings LSE and Euronext do not have control over their clearing and settlement operations a situation which critics say is more transparent and competitive
sport,Harinordoquy suffers France axe,Number eight Imanol Harinordoquy has been dropped from Frances squad for the Six Nations match with Ireland in Dublin on 12 March Harinordoquy was a secondhalf replacement in last Saturdays 2418 defeat to Wales Bourgoin lock Pascal Pape who has recovered from a sprained ankle returns to the 22man squad Wing Cedric Heymans and Ludovic Valbon come in for Aurelien Rougerie and JeanPhilippe Grandclaude Rougerie hurt his chest against Wales while Grandclaude was a secondhalf replacement against both England and Wales Valbon capped in last Junes Tests against the United States and Canada was a second half replacement in the win over Scotland France coach Bernard Laporte said Harinordoquy had been axed after a poor display last weekend Imanol has been dropped from the squad because the least I can say is that he didnt make a thundering comeback against Wales said Laporte We know the Ireland game will be fast and rough and we also want to be able to replace both locks during the game if needed and Gregory Lamboley can also come on at number seven or eight The Grand Slam is gone but well go to Ireland to win It will be a very exciting game because Ireland have three wins under their belt have just defeated England and have their eyes set on a Grand Slam France who lost to Wales last week must defeat the Irish to keep alive their hopes of retaining the Six Nations trophy Ireland are unbeaten in this years tournament and have their sights set on a first Grand Slam since 1948 Dimitri Yachvili Biarritz Pierre Mignoni Clermont Yann Delaigue Castres Frederic Michalak Stade Toulousain Damien Traille Biarritz Yannick Jauzion Stade Toulousain Ludovic Valbon Biarritz Christophe Dominici Stade Francais Cedric Heymans Stade Toulousain Julien Laharrague Brive Sylvain Marconnet Stade Francais Nicolas Mas Perpignan Olivier Milloud Bourgoin Sebastien Bruno SaleENG William Servat Stade Toulousain Fabien Pelous Stade Toulousain capt Jerome Thion Biarritz Pascal Pap Bourgoin Gregory Lamboley Stade Toulousain Serge Betsen Biarritz Julien Bonnaire Bourgoin Yannick Nyanga Bziers
business,Barclays shares up on merger talk,Shares in UK banking group Barclays have risen on Monday following a weekend press report that it had held merger talks with US bank Wells Fargo A tieup between Barclays and Californiabased Wells Fargo would create the worlds fourth biggest bank valued at 180bn 96bn Barclays has declined to comment on the report in the Sunday Express saying it does not respond to market speculation The two banks reportedly held talks in October and November 2004 Barclays shares were up 8 pence or 13 at 605 pence by late morning in London on Monday making it the second biggest gainer in the FTSE 100 index UK banking icon Barclays was founded more than 300 years ago it has operations in over 60 countries and employs 76200 staff worldwide Its North American divisions focus on business banking whereas Wells Fargo operates retail and business banking services from 6000 branches In 2003 Barclays reported a 20 rise in pretax profits to 38bn and it has recently forecast similar gains in 2004 predicting that full year pretax profits would rise 18 to 45bn Wells Fargo had net income of 62bn in its last financial year a 9 increase on the previous year and revenues of 284bn Barclays was the focus of takeover speculation in August when it was linked to Citigroup though no bid has ever materialised Stock market traders were sceptical that the latest reports heralded a deal The chief executive would be abandoning his duty if he didnt talk to rivals but a deal doesnt seem likely Reuters quoted one trader as saying
politics,Campaign cold calls questioned,Labour and the Conservatives are still telephoning the millions of people who have signed up to make sure they do not get marketing cold calls The parties say they can stick to the rules by ensuring that their calls are not marketing for instance by asking about peoples voting intentions The Lib Dems are asking the watchdog overseeing the rules to stop the calls The information commissioners office says surveys are allowed but people had to be told if personal data was kept Telephone call centres are expected to be used as never before by all the three major parties in the runup to the general election But seven million telephone numbers are on the Telephone Preference Service TPS lists which ban unsolicited sales and marketing calls Both schemes are run by the Direct Marketing Association and backed by EU directives on privacy and electronic communications The rules on marketing calls apply as much to politicians as to private sector companies But that does not mean Labour and the Tories are not calling people signed up to the TPS A Labour Party spokesman told the BBC News website the party avoided those on TPS lists when telephoning people about membership or fundraising But that did not happen for voter identification calls When we ask which party they will vote for that is not marketing and we have very clear legal advice that it is not he said So it is not covered by the Telephone Preference Service He said the party always asked people if they would be happy to be contacted again and if they said no they were not rung again A Conservative spokeswoman said the party stuck to the rules when it rang TPS subscribers She said We do apply TPS but in line with the law We would not do things that are not allowed in the law Assistant information commissioner Phil Jones said it was classed as marketing if political parties telephoned people to encourage them to vote for them But classic market research such as a poll of voter intentions did not constitute direct marketing he said If a party is calling someone who is registered on TPS and records their voting intention with a view to using this information in the future this should be clear to the voter concerned said Mr Jones If a party rings a person who is registered on TPS to ask about their voting intention and goes on to encourage that voter to support them the party may well be in breach of the regulations In summary whether a party calling TPS registered voters to check their voting intentions will breach regulations will depend on the script used and whether the script is followed Mr Jones said the watchdog received very few complaints on the issue Earlier Lib Dem chairman Matthew Taylor wrote to the watchdog saying The advice we have received on several previous occasions is that such phone calls are illegal He says evidence from local Lib Dem parties around the country suggests there are significant numbers of such calls I hope you can therefore take swift and efficient action to ensure that this ceases he tells the commissioner Mr Taylor argues there should be new guidelines so all parties can act in the same way if the watchdog believes the rules allow parties to ring TPS numbers about voting intentions and later urge those people to vote for them
sport,Wolves appoint Hoddle as manager,Glenn Hoddle has been unveiled as the new Wolves manager The exEngland coach has been given a sixmonth contract to succeed Dave Jones who was sacked after the clubs poor start to the season Wolves chairman Rick Hayward said Were delighted Glenn is here He has a sixmonth contract so we can test each other out and see if it works Hoddle who will work alongside Stuart Gray has been out of the game since he was sacked by Spurs in 2003 Gray who has been caretaker manager was assistant boss when Hoddle was manager at Southampton Im delighted to be here said Hoddle I saw the massive potential that Wolves have got and their desire and amibition to get back into the Premiership parallels my ambitions Stuart Gray has done a fantastic job as caretaker manager Weve worked together at Southampton and Im delighted to be back with him Wolves chief executive Jez Moxey defended the decision to give Hoddle a shortterm contract We hope it will work out for both parties and we extend it for the long term he said Most managers want a fouryear contract and then expect it to be paid off if it doesnt work out For somebody of Glenns calibre to come in on a shortterm contract and put his reputation on the line it demonstrates his commitment and selfbelief and the potential he thinks is here Hayward revealed that Hoddle was one of the first to be approached after Jones departure He was not available at the time because he was looking at various other things he explained Five weeks later were back on track and this a tremendous opportunity for Wolves Hoddle began his managerial career as playerboss with Swindon before moving on to Chelsea and then taking up the England job His spell in charge of the national side came to an end after the 1998 World Cup when he made controversial remarks about the disabled in a newspaper interview The 47yearold later returned to management with Southampton where he again succeeded Jones as he has now done at Wolves He engineered an upturn in Saints fortunes before being lured to White Hart Lane by Tottenham the club where he made his name as a player That relationship turned sour at the start of the last campaign and he left the London club early last season Since then he has applied unsuccessfully for the post of France manager and had also been linked with a return to Southampton Wolves are currently 17th in the Championship and have a home game against Millwall on Tuesday
sport,Hantuchova in Dubai last eight,Daniela Hantuchova moved into the quarterfinals of the Dubai Open after beating Elene Likhotseva of Russia 75 64 and now faces Serena Williams Australian Open champion Williams survived an early scare to beat Russias Elena Bovina 16 61 64 World number one Lindsay Davenport and Anastasia Myskina also progressed Davenport defeated Chinas Jie Zheng 62 75 while French Open champion Myskina sailed through after her opponent Marion Bartoli retired hurt American Davenport will now face fellow former Wimbledon champion Conchita Martinez of Spain who ousted seventhseeded Nathalie Dechy of France 61 62 Myskina will face eighthseed Patty Schnyder from Switzerland who defeated Chinas Li Na 63 76 108 The other quarter final pits wild card Sania Mirza of India against Jelena Jankovic of Serbia and Montenegro who both won on Tuesday Before her meeting with Martinez Davenport believes there is some room for improvement in her game I started well and finished well but played some soso games in the middle she said Williams was also far from content I dont know what I was doing there she said It was really windy and I hadnt played in the wind All my shots were going out of here But Hantuchova is in upbeat mood ahead of her clash with the younger Williams sister who was handed a firstround bye I feel I have an advantage over Serena because I have already played two matches on these courts she said It is a difficult court to play on Very fast and sometimes you feel you have no control over the ball
politics,BAA support ahead of court battle,UK airport operator BAA has reiterated its support for the governments aviation expansion plans to airports throughout the country The comments come a day ahead of a High Court challenge by residents groups and local councils to the governments White Paper The judicial review will centre on government plans for expansion at Heathrow Stansted and Luton airports BAA which operates all three said it was consulting with local communities We areconsulting on voluntary compensation schemes which go beyond our statutory obligations a BAA spokesman said Groups challenging the plans include Stop Stansted Expansion Heathrow antinoise campaigners HACAN Clearskies and the London boroughs of Hillingdon and Wandsworth At Heathrow Gatwick Edinburgh and Glasgow airports BAA launched a series of consultations on blight to properties from the proposed expansion in September 2004 which will close next week The company is also offering to buy noisehit properties for an indexlinked unblighted price Among other measures BAA has set up a homeowner support scheme for people living near Stansted and has launched a special scheme for those close to the airport but far enough away not to be covered by the homeowner scheme At Heathrow BAA said it was working closely with all interested parties to see how the strict environmental air quality and noise targets for a third runway can be met At Gatwick the company has written to homes and business likely to be affected by any extra runway Stop Stansted Expansion said the White Paper published in December 2003 was fundamentally flawed and did not follow the proper consultation process We do not underestimate the scale of the challenge before us because the courts have never before overturned a government White Paper said Stop Stansted Expansion chairman Peter Sanders said HACAN chairman John Stewart said Almost exactly a year ago the government published its 30year aviation White Paper with much fanfare It hoped that would be the end of the debate and it could proceed with its plans for a massive expansion of aviation Yet a year later the protesters are still here and stronger than ever A judgement from Mr Justice Sullivan is expected early in February
entertainment,My memories of Marley,To mark the 60th anniversary of the birth of reggae star Bob Marley Rob Partridge Marleys former head of press at Island Records remembers the man behind the legend Partridge worked with Marley from 1977 until the Jamaican musicians death in 1981 I joined Island Records in 1977 and the first week I was there I worked on his show at the Rainbow Theatre It was one of the last dates he did in London The album Exodus came out in 1977 and that provided five hits and confirmed his global superstar status By 1979 he was the biggest touring attraction in the world I remember going to see dates in Milan and Turin and they were enormous concerts Bob was one of the most mesmeric people Ive ever had the privilege to work with He must have had an iron will to succeed Bob was a very driven individual You realised from the start there was a manifest destiny within him that he believed in He didnt suffer fools gladly At the risk of stating the obvious he was an extraordinary song writer and his stage act was perhaps the greatest Ive ever seen I saw him many times I recall in 1978 he came to the UK for Top of the Pops and a Daily Mirror journalist did a halfhour interview It was interrupted to do a rehearsal He came back into the dressing room to resume the interview but saw a World Cup match on TV He sat down in front of the TV and after 10 minutes it was obvious he wasnt going to move That was the end of it The Mirror had a very truncated interview The last time I saw him was in London in 1980 I arranged for him to play four days of football indoors in Fulham Bob was a good player We are talking about Jamaicanstyle football He was an attacking midfield player His team assembled wherever his gigs were We played in Brazil against some World Cupwinning players It was always a struggle for him to connect with Black America Reggae did not correspond with disco in the 70s But Bob in the 1990s became one of the great icons in America and the Third World In 1991 ten years after his death he sold more records than at any time during his life We saw Black America taking Bob into their hearts for the first time Bob in worldwide terms is the greatest music star there has ever been If you went to Africa he would be recognised everywhere in places John Lennon or Elvis wouldnt be No disrespect to the other artists but a case can be made for him as the greatest the best and the most influential artist in popular music Well 1981 was to be the year he toured Africa with Stevie Wonder He had only performed in Zimbabwe and Guinea before Of course the 1981 tour never happened but the whole of Africa would have embraced him We cant speculate but he was at the height of his powers and just 36 years old I had no sense his career was going to go downhill Bob was endlessly optimistic about the way Africa would turn out He realised that nothing was perfect but he had total belief in the power of mankind Im sure if he were alive today he would believe Africa would firstly become politically free and secondly be able to defeat the Aids epidemic The final tune of his final album was Redemption Song one of the most incredible classics of all time
politics,Labour trio had voterig factory,Three Labour councillors in Birmingham were caught operating a voterigging factory an Election Court has heard Police found the trio handling unsealed postal ballots in a deserted warehouse in the city during a latenight raid in June 2004 the hearing was told The votes were later counted towards that months English local elections The men elected to the Aston ward deny collecting votes fraudulently The judge presiding has indicated the whole postal voting system is under scrutiny Deputy High Court Judge Richard Mawrey QC told the hearing at the Birmingham and Midlands Institute the case could have potentially serious consequences for any forthcoming General Election The special Election Court the first in living memory to hear allegations of voterigging opened in Birmingham last month The case against Muhammad Afzal Mohammed Islam and Mohammed Kazi is being brought by local Liberal Democrat supporters They claim the trio benefited from the widespread misuse of postal votes during the 10 June election Ravi Sukul counsel for the petitioners accused the three men of being deeply involved in illegal practices Witnesses saw them carrying several bags from their campaign office which the men drove to a warehouse on an industrial estate off Birch Road East the court was told The police were alerted and called to the premises Mr Sukul said When the officers arrived there in the middle of the night they saw a large room with a 10ft long table and six Asian men present Hundreds of documents and unsealed envelopes were scattered all over the table The police officers left the warehouse but were later ordered back to seize the documents When the officers left all the envelopes and papers were scattered Mr Sukul said When they went back to make the seizure every one of these 275 yellow ballot papers were placed neatly in envelope A and sealed The house was in order Interrupting Mr Sukul in his opening Mr Mawrey said What you are saying is these men were operating a voteforging factory on an industrial estate The court heard how documents were taken by police to the elections office next morning where they were mixed in with other ballots The case against the men follows a hearing into postal fraud allegations made against three other Birmingham councillors in the Bordesley Green ward claims which are denied Mr Mawrey is due to deliver a judgment in their case once the Aston petition has been heard Mr Afzal Mr Islam and Mr Kazi deny conspiring to commit election fraud to deceive the returning officer The case continues
